,week,Plot,SubPlot,pH,SoilMoisture,N,P,EC,Zn,S,K,Mg,Ca,Temperature,Humidity,Light,PrepH,PreSoilMoisture,PreN,PreP,PreEC,PreZn,PreS,PreK,PreMg,PreCa,PreTemperature,PreHumidity,PreLight,plantHeight,weight,LongestLeaf,LeafCount,LeafArea,PreplantHeight,Preweight,PreLongestLeaf,PreLeafCount,PreLeafArea
0,1,1,1,6.49733789,67.26273741,169.0023127,58.77960773,4.652612653,11.86233974,150.0445676,150.412185,208.9205048,2045.551093,29.13581611,89.09650273,1009.968144,,,,,,,,,,,,,,0,0,0,0,0,,,,,
1,1,1,2,6.223355111,72.3850836,150.0287918,52.5958267,4.67430286,10.71771087,152.1735515,158.0145377,218.7858581,2050.688297,33.89108652,89.84127087,1000.273392,,,,,,,,,,,,,,0,0,0,0,0,,,,,
2,1,1,3,6.269997165,65.34063908,151.476284,50.69774855,4.690719804,10.49381398,154.4688997,152.432951,216.6427857,2016.276582,32.81710801,89.17539052,1003.732578,,,,,,,,,,,,,,0,0,0,0,0,,,,,
3,1,1,4,6.912600479,65.26149077,157.5148906,56.88351999,4.624265623,10.16264809,154.6217487,152.8005351,202.6007278,2009.856657,28.0849116,89.14049557,1009.563954,,,,,,,,,,,,,,0,0,0,0,0,,,,,
4,1,1,5,6.86806692,70.23716129,151.4340496,55.0022002,4.642518839,10.89873365,151.7350959,154.1401881,204.7771362,2045.199117,30.63189144,88.12452875,1008.419932,,,,,,,,,,,,,,0,0,0,0,0,,,,,
5,1,1,6,6.432763084,74.72857922,164.5975102,53.17873173,4.683631368,10.74897843,154.5574341,156.4490616,206.2074099,2012.236348,28.56085099,88.62303826,1005.469973,,,,,,,,,,,,,,0,0,0,0,0,,,,,
6,1,1,7,6.443414414,66.79584507,153.9193326,54.02523413,4.627542589,10.23625276,150.9029276,159.731862,206.0875962,2046.321931,30.97518053,88.88419292,1007.814817,,,,,,,,,,,,,,0,0,0,0,0,,,,,
7,1,1,8,6.747025463,65.81999001,157.5366025,57.0223857,4.689814674,11.58045862,150.8736077,154.2469969,213.0160041,2000.409473,34.18767027,89.7766397,1002.732871,,,,,,,,,,,,,,0,0,0,0,0,,,,,
8,1,1,9,6.566050142,67.58059654,154.5572719,55.6152801,4.681094629,10.90588195,150.9446881,157.0983603,205.57973,2001.119538,29.82511824,89.23820675,1007.070858,,,,,,,,,,,,,,0,0,0,0,0,,,,,
9,1,1,10,6.461742236,67.42242895,167.9500934,53.02824703,4.655763047,10.22916255,151.4964845,155.3035475,207.5915179,2003.728001,32.27619564,89.04693768,1009.622866,,,,,,,,,,,,,,0,0,0,0,0,,,,,
10,1,2,1,6.453488536,67.78764589,155.6511158,59.51249101,4.669643753,10.62921256,153.5059343,157.7867449,204.1798948,2045.264097,30.28241478,89.44824171,1000.872637,,,,,,,,,,,,,,0,0,0,0,0,,,,,
11,1,2,2,6.410197732,71.76821736,161.1775385,57.28977294,4.642962129,11.33420223,151.5903012,156.9100063,210.6426703,2018.257985,30.94207347,89.49798209,1002.2915,,,,,,,,,,,,,,0,0,0,0,0,,,,,
12,1,2,3,6.48051116,72.18232564,168.0439453,50.80171272,4.654191338,10.30459918,151.453675,154.0502935,202.8661286,2015.830143,28.73098987,89.63133616,1002.831509,,,,,,,,,,,,,,0,0,0,0,0,,,,,
13,1,2,4,6.043250305,68.14630428,168.9433942,51.17116934,4.634903482,10.05843913,151.1353867,155.35062,202.0820436,2035.696269,30.6416396,88.84512228,1004.847242,,,,,,,,,,,,,,0,0,0,0,0,,,,,
14,1,2,5,6.017865456,74.00577673,166.7486989,55.27812063,4.634854439,11.62804082,151.5908066,153.2476265,206.9275077,2004.972895,32.62636123,89.09553434,1009.416877,,,,,,,,,,,,,,0,0,0,0,0,,,,,
15,1,2,6,6.798496928,70.75579815,164.633956,51.69322193,4.627675733,11.38558236,154.5836386,155.8524074,212.1677921,2049.49042,34.52407836,89.65162818,1006.301361,,,,,,,,,,,,,,0,0,0,0,0,,,,,
16,1,2,7,6.295268319,70.34255065,154.7913805,54.04547726,4.611773442,11.43768699,154.8677838,151.3987542,215.8346678,2027.811459,30.15154975,88.4095274,1000.774652,,,,,,,,,,,,,,0,0,0,0,0,,,,,
17,1,2,8,6.47253297,71.72753843,151.4033901,55.7403585,4.667880771,11.0030629,151.9624558,150.7693815,201.9985618,2042.394464,30.59254719,89.84485107,1005.51345,,,,,,,,,,,,,,0,0,0,0,0,,,,,
18,1,2,9,6.984259579,68.97049639,160.2917591,52.37147615,4.603624829,10.86959147,153.0611924,153.5416171,217.6260959,2053.630053,29.63446196,89.8915482,1007.066126,,,,,,,,,,,,,,0,0,0,0,0,,,,,
19,1,2,10,6.816739207,69.39117284,164.2054933,52.7009389,4.699631032,10.34177315,153.2619045,156.3064614,213.2403831,2042.667807,34.73993541,89.94852282,1005.817229,,,,,,,,,,,,,,0,0,0,0,0,,,,,
20,1,3,1,5.656518009,51.15320192,106.494639,52.7617672,4.699631032,15.2883259,112.1506432,129.9792114,325.3733225,1521.733254,27.99887637,89.78665098,1006.694425,,,,,,,,,,,,,,0,0,0,0,0,,,,,
21,1,3,2,7.361241012,59.63219763,104.0449508,53.57304261,4.699631032,15.7106108,117.8992571,112.6789217,304.694235,1540.148357,22.95896318,88.47281355,1004.603233,,,,,,,,,,,,,,0,0,0,0,0,,,,,
22,1,3,3,6.824745683,58.07300225,123.6248383,50.05213561,4.699631032,16.91951579,105.0164992,117.1299413,327.1481942,1510.691369,22.36321787,88.01155472,1001.730221,,,,,,,,,,,,,,0,0,0,0,0,,,,,
23,1,3,4,5.894963679,55.37890029,129.120906,54.78766215,4.699631032,16.60320623,118.6215754,124.7984914,339.0500994,1524.408916,27.88585679,89.86865968,1003.722599,,,,,,,,,,,,,,0,0,0,0,0,,,,,
24,1,3,5,7.352075975,50.73628967,113.3517201,54.97359999,4.699631032,18.89028097,116.3748491,127.3356164,314.1868323,1530.655338,25.07870487,89.43472264,1008.526218,,,,,,,,,,,,,,0,0,0,0,0,,,,,
25,1,3,6,7.412875983,54.1074886,116.013221,51.14722872,4.699631032,16.75854973,106.1683881,119.8694251,314.9611957,1500.264023,22.95584583,89.72355782,1005.983725,,,,,,,,,,,,,,0,0,0,0,0,,,,,
26,1,3,7,6.892936621,58.49706076,103.7253404,51.82378189,4.699631032,15.85920017,108.9503759,129.7242542,319.5045391,1513.220145,29.52509338,88.20101348,1000.775955,,,,,,,,,,,,,,0,0,0,0,0,,,,,
27,1,3,8,5.988862913,54.56280003,106.5928009,54.81243132,4.699631032,19.70233482,119.9191022,124.7150171,333.0882687,1520.658775,26.7347979,88.47672748,1009.508483,,,,,,,,,,,,,,0,0,0,0,0,,,,,
28,1,3,9,6.430560685,58.57841431,118.6027799,52.52677323,4.699631032,17.16993293,108.8928146,120.3213558,311.2195244,1535.791804,27.25096184,88.13190598,1002.428658,,,,,,,,,,,,,,0,0,0,0,0,,,,,
29,1,3,10,6.830299906,58.77041016,123.4715619,53.11120889,4.699631032,17.33118723,108.094329,106.4966624,300.1175026,1539.537794,27.6585499,89.22869398,1005.502593,,,,,,,,,,,,,,0,0,0,0,0,,,,,
30,1,4,1,6.1278088,70.75690002,164.9088977,53.25972775,4.606073795,10.63594579,150.3473842,157.5455265,208.3708397,2052.83476,30.30562189,88.06071675,1007.894625,,,,,,,,,,,,,,0,0,0,0,0,,,,,
31,1,4,2,6.333351392,70.35182973,164.3544466,52.00564866,4.671475428,10.74006026,154.8965398,159.1434997,216.1409255,2038.568462,28.24706915,89.84538871,1004.615246,,,,,,,,,,,,,,0,0,0,0,0,,,,,
